scenario,parameter,true,mean,std,q05,q50,q95,width90,rel_width90
dosegrid_total_2arm_d10,psi,300.0,350.70616016136495,122.7914191626424,188.8708460410011,327.67184280052993,587.5739188821913,398.7030728411902,1.3290102428039674
dosegrid_total_2arm_d10,omega,0.135,0.16486477260613963,0.038976147391011476,0.11033585617894408,0.15803189810168705,0.24018751917113168,0.1298516629921876,0.9618641703125006
dosegrid_total_2arm_d10,k,1.1,1.1935011146908594,0.3711736179158742,0.6571320093553183,1.1494889582681875,1.8712036066160747,1.2140715972607563,1.1037014520552328
dosegrid_total_2arm_d10,initial_volume,0.03,0.03598573557702745,0.009464903531368677,0.022578691134882554,0.03508219635347245,0.05398852106644655,0.03140982993156399,1.0469943310521332
dosegrid_total_4arm_d10,psi,300.0,330.66432399670623,113.4932325088743,190.09547665549044,308.9133127886222,553.2762482871934,363.180771631703,1.2106025721056768
dosegrid_total_4arm_d10,omega,0.135,0.15926684074257907,0.03602601481188304,0.10763863677646208,0.15569165081208197,0.22581737040873387,0.11817873363227178,0.8753980269057169
dosegrid_total_4arm_d10,k,1.1,1.1698364605794707,0.33917471431988,0.6830873318077667,1.1150870480118362,1.8093164953025167,1.12622916349475,1.0238446940861363
dosegrid_total_4arm_d10,initial_volume,0.03,0.035211142629490245,0.0075924593820685575,0.0252379137052529,0.033851755467271614,0.04872767342364962,0.023489759718396723,0.7829919906132241
dosegrid_total_fulldose_ladder,psi,300.0,334.34562865887943,106.23780473218125,186.43835922262687,323.122499310996,525.3595404955419,338.92118127291496,1.1297372709097167
dosegrid_total_fulldose_ladder,omega,0.135,0.15055461388102545,0.03285087517615525,0.10134006877249492,0.14738576718718632,0.20903508432324192,0.107695015550747,0.7977408559314592
dosegrid_total_fulldose_ladder,k,1.1,1.3292956870917925,0.3805570949215058,0.7719832494878898,1.2835491798159289,2.024745448680004,1.2527621991921143,1.1388747265382857
dosegrid_total_fulldose_ladder,initial_volume,0.03,0.03169008561711828,0.007355768493520169,0.02176032210423046,0.030829863205277933,0.045685863152645105,0.023925541048414645,0.7975180349471549
dosegrid_total_partialdose_ladder,psi,300.0,315.49291635997224,102.58501218530326,175.48224612901237,301.12291697321336,507.28546682666854,331.8032206976562,1.106010735658854
dosegrid_total_partialdose_ladder,omega,0.135,0.15432681054303526,0.03399674031660455,0.1017134297253171,0.1515716219195627,0.2154706010396414,0.1137571713143243,0.8426457134394393
dosegrid_total_partialdose_ladder,k,1.1,1.2689337431697063,0.3894079706706618,0.7257978309700055,1.2126573385737773,2.0163445852625235,1.290546754292518,1.1732243220841072
dosegrid_total_partialdose_ladder,initial_volume,0.03,0.03291147531773451,0.00783531922780466,0.02224925678160246,0.03172570517057844,0.047162281029042186,0.024913024247439727,0.8304341415813242
dosegrid_total_dose_coverage_grid,psi,300.0,331.75562838649347,102.89317254278265,187.65578840076392,317.94921425411144,526.8066533658721,339.15086496510816,1.1305028832170272
dosegrid_total_dose_coverage_grid,omega,0.135,0.14339117046553349,0.03059235652336312,0.10175664161819259,0.1395845106916045,0.19910372775252344,0.09734708613433085,0.7210895269209692
dosegrid_total_dose_coverage_grid,k,1.1,1.2316138474571983,0.35182459498633967,0.7398947180763279,1.183797969980367,1.9019218673410232,1.1620271492646954,1.0563883175133595
dosegrid_total_dose_coverage_grid,initial_volume,0.03,0.030472671182978188,0.005560926045750351,0.022149226634351944,0.029931163022955634,0.04040577485376673,0.018256548219414786,0.6085516073138262
dosegrid_total_plus_immune_grid,psi,300.0,307.5453572721832,73.63055290362392,202.4565331568879,298.7416571332451,438.7847128082516,236.32817965136368,0.787760598837879
dosegrid_total_plus_immune_grid,omega,0.135,0.14159047082325213,0.028205656862522303,0.10224606226263377,0.1378022462090153,0.1949393638128879,0.09269330155025413,0.6866170485204008
dosegrid_total_plus_immune_grid,k,1.1,1.1881194719093506,0.30043281535866184,0.7835914174509224,1.1470141729384435,1.7592067914779708,0.9756153740270483,0.8869230672973166
dosegrid_total_plus_immune_grid,initial_volume,0.03,0.029859949375654303,0.004222721779470805,0.02331755237746504,0.029529716131057357,0.03728291513238968,0.013965362754924642,0.46551209183082143
