scenario,n_measurements,n_points,observables,arms,local_cost,residual_norm,posterior_samples,mean_acceptance_fraction,mean_autocorr_time
total_2arm,2,22,total_volume,10.0Gy@0.50/tx10;10.0Gy@1.00/tx10,0.09081079880635963,0.30134830148245345,1600,0.5586904761904763,25.997968969014373
total_plus_immune_2arm,4,44,immune_effect;total_volume,10.0Gy@0.50/tx10;10.0Gy@1.00/tx10,0.29445090535509577,0.5426333065294608,1600,0.5729761904761904,23.852262901349764
total_plus_lymph_2arm,4,44,lymphocyte_volume;total_volume,10.0Gy@0.50/tx10;10.0Gy@1.00/tx10,0.23765479808184015,0.48749851085089496,1600,0.568452380952381,22.64683922232844
total_plus_trigger_2arm,4,44,total_volume;triggering_density,10.0Gy@0.50/tx10;10.0Gy@1.00/tx10,0.16499849125975807,0.4062000630966939,1600,0.5663095238095238,25.166072335776036
total_4arm,4,44,total_volume,10.0Gy@0.25/tx10;10.0Gy@0.50/tx10;10.0Gy@0.75/tx10;10.0Gy@1.00/tx10,0.3392261155936249,0.5824312110400892,1600,0.5597619047619049,24.026916076334082
