scenario,parameter,true,mean,std,q05,q50,q95,width90,rel_width90
total_2arm,psi,300.0,352.71415280670726,120.89996609045697,192.0208651619236,331.0398914667947,578.002706221964,385.9818410600404,1.2866061368668014
total_2arm,omega,0.135,0.1650934407146253,0.041343911022165794,0.10668777242008129,0.1603972932756529,0.24309490724914115,0.13640713482905986,1.010423220955999
total_2arm,k,1.1,1.1477012984168398,0.32601112939645216,0.6906776449743436,1.1040297819732912,1.7400882774024327,1.049410632428089,0.9540096658437172
total_2arm,initial_volume,0.03,0.03531460402103272,0.008197415993438333,0.023592888246701145,0.03433258243524423,0.04986006455329038,0.026267176306589236,0.8755725435529745
total_plus_immune_2arm,psi,300.0,307.1644409786592,93.22850755928017,187.2944615533725,289.70630010825323,487.01165525972874,299.7171937063562,0.9990573123545208
total_plus_immune_2arm,omega,0.135,0.15377062222232893,0.031813036692174314,0.10773025667411881,0.1513521924209451,0.21222037668382485,0.10449012000970603,0.7740008889607853
total_plus_immune_2arm,k,1.1,1.2029998889907798,0.334024545311465,0.7319113741357071,1.1630164172839197,1.8090948106291893,1.0771834364934822,0.9792576695395292
total_plus_immune_2arm,initial_volume,0.03,0.031156145221497705,0.006617737748008846,0.021949792382768132,0.030387279084613854,0.043067333809800455,0.021117541427032323,0.7039180475677441
total_plus_lymph_2arm,psi,300.0,329.9217017234761,80.30318031305181,217.967725062231,317.78509354820653,481.79357409820335,263.82584903597234,0.8794194967865745
total_plus_lymph_2arm,omega,0.135,0.16252124008270794,0.034504798094420835,0.11023996218713154,0.15981004134130056,0.22713524087245324,0.1168952786853217,0.8658909532246051
total_plus_lymph_2arm,k,1.1,1.2230459968435488,0.3596932225324906,0.6988233340956604,1.1985077230732684,1.935365409522416,1.2365420754267555,1.1241291594788685
total_plus_lymph_2arm,initial_volume,0.03,0.03500108467231215,0.009100568720191705,0.022656528940925603,0.03378343850218676,0.05241320888072914,0.029756679939803535,0.9918893313267845
total_plus_trigger_2arm,psi,300.0,325.007684650209,112.51038127882516,184.0257941538904,300.89638900481793,561.945062446934,377.9192682930436,1.2597308943101453
total_plus_trigger_2arm,omega,0.135,0.1655419148079521,0.03862666766263446,0.11086366244320123,0.1615961809289792,0.23767606281314982,0.1268124003699486,0.939351113851471
total_plus_trigger_2arm,k,1.1,1.1226521681986161,0.3347213248167721,0.6557376033566682,1.088553850528262,1.7225584258843811,1.066820822527713,0.9698371113888299
total_plus_trigger_2arm,initial_volume,0.03,0.035818751256666434,0.008986035414854649,0.023149985656230377,0.034463325209749304,0.052380866989000366,0.02923088133276999,0.974362711092333
total_4arm,psi,300.0,320.9961309492841,102.50550405362644,186.47396775869842,304.00521760984043,513.2813370851321,326.8073693264337,1.0893578977547789
total_4arm,omega,0.135,0.16098809629959518,0.03674735286051376,0.1094294990505415,0.15708143113400247,0.22774122567523655,0.11831172662469505,0.8763831601829263
total_4arm,k,1.1,1.210959008820488,0.37126946248668213,0.7025859060037611,1.1546604855309246,1.9627083003558927,1.2601223943521316,1.1455658130473922
total_4arm,initial_volume,0.03,0.035071055943762294,0.007856106083407742,0.023532740884733422,0.034173289586350616,0.05012212621134644,0.02658938532661302,0.8863128442204341
