scenario,parameter,true,mean,std,q05,q50,q95,width90,rel_width90
startvol_partial_pair_d10,psi,300.0,332.4353999525536,118.23074011426854,168.65411878037992,316.3357282074036,541.9816890841537,373.32757030377377,1.2444252343459126
startvol_partial_pair_d10,omega,0.135,0.12951052414871678,0.026711304880237822,0.08865974490500207,0.12814720752027897,0.1764615888485825,0.08780184394358044,0.6503840292117069
startvol_partial_pair_d10,k,1.1,1.3757063331696273,0.36325123104642487,0.8353533320631537,1.3277370621867743,2.0502186882444104,1.2148653561812568,1.1044230510738697
startvol_partial_pair_d10,initial_volume,0.03,0.03476871087228064,0.010310513155739972,0.021703815323605862,0.03247868046510289,0.055654756856605106,0.03395094153299924,1.1316980510999748
startvol_full_pair_d10,psi,300.0,329.73209331244584,111.3751660118788,183.95017230526426,306.8391697828734,545.5468821835206,361.5967098782563,1.2053223662608543
startvol_full_pair_d10,omega,0.135,0.14186305257798737,0.03191866876362919,0.09962543870120928,0.13592286864720543,0.20614366032339948,0.1065182216221902,0.7890238638680754
startvol_full_pair_d10,k,1.1,1.2529782989113016,0.3782665028119278,0.728405224617884,1.2170220988361975,1.9348213728335137,1.2064161482156297,1.0967419529232996
startvol_full_pair_d10,initial_volume,0.03,0.04117824790981969,0.011027348467144342,0.025415368374347738,0.03992986582261561,0.061075761186005995,0.035660392811658254,1.1886797603886086
startvol_mixed_4arm_d10,psi,300.0,306.2129673108281,90.17623720609342,186.41253175794225,288.701302030179,482.31636500020545,295.9038332422632,0.986346110807544
startvol_mixed_4arm_d10,omega,0.135,0.13623396639126562,0.02766800745388887,0.09584149968555071,0.13364914537731848,0.1867412810553031,0.0908997813697524,0.6733317138500177
startvol_mixed_4arm_d10,k,1.1,1.3821260840710483,0.3420383971514005,0.8796903906637029,1.354085543303426,2.004806620189278,1.1251162295255752,1.022832935932341
startvol_mixed_4arm_d10,initial_volume,0.03,0.03787944939150451,0.00866547285097004,0.02631244226102702,0.03657175053240046,0.05407948577306209,0.02776704351203507,0.9255681170678357
startvol_mixed_4arm_plus_immune,psi,300.0,326.2871500386543,110.18634051963024,176.56836483688443,316.59953594122453,527.8796861255578,351.31132128867335,1.1710377376289112
startvol_mixed_4arm_plus_immune,omega,0.135,0.13611341453927406,0.028225070285983134,0.09324236021555801,0.13456641028915453,0.18732206188356068,0.09407970166800267,0.696886679022242
startvol_mixed_4arm_plus_immune,k,1.1,1.3823204952442927,0.3316148440466332,0.8694720499566537,1.3526991986104866,1.9487229548409308,1.079250904884277,0.9811371862584336
startvol_mixed_4arm_plus_immune,initial_volume,0.03,0.03816815512531406,0.006480441014861195,0.02912917372308537,0.03726628909256006,0.0499040501583602,0.020774876435274828,0.6924958811758276
