scenario,n_measurements,n_points,observables,arms,local_cost,residual_norm,posterior_samples,mean_acceptance_fraction,mean_autocorr_time
startvol_partial_pair_d10,2,22,total_volume,10.0Gy@0.50/tx10;10.0Gy@0.50/tx15,8.912628542630777,2.985402576308726,1600,0.5635714285714286,23.15977497060822
startvol_full_pair_d10,2,22,total_volume,10.0Gy@1.00/tx10;10.0Gy@1.00/tx15,3.31776507672089,1.821473325832934,1600,0.5680952380952382,25.58895057517639
startvol_mixed_4arm_d10,4,44,total_volume,10.0Gy@0.50/tx10;10.0Gy@0.50/tx15;10.0Gy@1.00/tx10;10.0Gy@1.00/tx15,12.71076820942374,3.5652164323395206,1600,0.5829761904761905,26.139971333964656
startvol_mixed_4arm_plus_immune,8,88,immune_effect;total_volume,10.0Gy@0.50/tx10;10.0Gy@0.50/tx15;10.0Gy@1.00/tx10;10.0Gy@1.00/tx15,24.25495793170128,4.924932276864452,1600,0.5417857142857143,28.253032235898512
